<Población>, < nodos>
Malagón, 2023066388, (-3.8514969, 39.1678095)
Argamasilla de Alba, 2223283589, (-3.0938295, 39.1271147)
Abenójar, 4823527794, (-4.3567204, 38.8794538)
Hinojosas de Calatrava, 1924179931, (-4.1397842, 38.61553)
Piedrabuena, 2455681684, (-4.1758113, 39.0351)
Montiel, 30948793, (-2.865112, 38.698017)
San Carlos del Valle, 2530781313, (-3.2410551, 38.8441491)
Arenas de San Juan, 2288482598, (-3.5017479, 39.2207923)
Aldea del Rey, 4758365221, (-3.8391006, 38.737206)
Corral de Calatrava, 1924259205, (-4.0817151, 38.8569816)
Navas de Estena, 1891262695, (-4.5216637, 39.4955761)
